Founder,Company,Age,Went to elite university,Major in Business,Major in Engineering,Completed Doctor Degree,Completed Master Degree,Completed Bachelor Degree,Master in Engineering,Master in Business,Doctor in Engineering,Doctor in Business,Role in Product/Engineering,Role in Business/Marketing/Comm,Role in Finance,Work at MNC,Work at Entrepreneurial Company,Work at National Company,Work at a company,Work as High Level,Work as Manager,Work as Intern
abhinay_peddisetty,bukuwarung,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0
aditya_haripurkar,hitpay,39,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1
aditya_mehta,suggestr,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
agnes_lie,whiz,35,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
aizat_rahim,borong,30,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
akmal_akhpah,pandai,33,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0
albert_sahala_theodore,payable,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1
aldrich_tan,nextpay,35,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0
alice_nawfal,notabene,50,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
alif_jafar_fatkhurrohman,upbanx,26,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
amit_kumar,octifi,45,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
ammar_roslizar,yezza,35,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
anderson_sumarli,ajaib,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0
andre_septiano,fresh_factory,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1
andrea_baronchelli,aspire,31,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0
andres_junge,notabene,49,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0
andy_hoang,aviron_interactive,26,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1
andy_sudarman,dealls_– jobs_&_mentoring,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1
ania_lipinska,notabene,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0
anita_sadasivan,mindfi,31,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1
ans_syuhada,delegasi,33,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0
anurag_chutani,intellect,32,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0
arvind_ramesh,metafi,29,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1
aschkan_abdul_malek,alemhealth,43,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ash_rhazaly,friz,30,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0
aswin_andrison,tazkerai,30,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1
baran_özkan,flagright,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0
benjamin_croc,briohr,27,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0
benjamin_tee,twoplus_fertility,39,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1
bjorn_lee,mindfi,44,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1
bo_chen,xendit,32,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1
bondan_herumurti,transfez,39,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
bruno_prezado_silva,unbabel,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0
bryan_giger,dashlabs.ai,27,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1
budi_handoko,shipper,44,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0
camille_ang,hive_health,33,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1
cayter_goh,ajourney,37,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0
chandni_chainani,dropezy,32,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0
chinmay_chauhan,bukuwarung,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0
chris_edelmann,pop_meals,35,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0
christian_hermawan,pina,47,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0
christian_lie,credibook,30,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0
christian_mischler,deskimo,39,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0
danny_castonguay,kalibrr,43,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0
david_chew,bipi,35,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0
david_gunawan,eden_farm,27,0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0
david_marquez,shipmates,32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
deepak_garg,warpfy,42,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0
dekha_anggareska,credibook,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
derek_low,cococart,31,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
dexter_ligot-gordon,kalibrr,44,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
diego_rojas,finantier,37,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0
dionis_loire,taskade,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
dito_krista,sirka,37,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1
dmitry_vedenyapin,peakflo,38,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0
dominic_sumarli,whiz,27,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0
don_pansacola,nextpay,35,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0
dorothea_koh,bot_md,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1
duc_pham,marathon_education,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0
