Name,Company,Linkedin
Moses Lo,Xendit,http://linkedin.com/in/moseslo
Bo Chen,Xendit,https://www.linkedin.com/in/bochen303
Juan Gonzalez,Xendit,https://www.linkedin.com/in/0505gonzalez
Anderson Sumarli,Ajaib,https://www.linkedin.com/in/andersonsumarli/
Yada Piyajomkwan,Ajaib,https://www.linkedin.com/in/yada-piyajomkwan-88713865/
Budi Handoko,Shipper,https://www.linkedin.com/in/bhandoko/
Phil Opamuratawongse,Shipper,https://www.linkedin.com/in/phil-opamuratawongse-b87b9380/
Jefriyanto,FAZZ,https://id.linkedin.com/in/jefriyanto
Hendra Kwik,FAZZ,https://www.linkedin.com/in/hendra-kwik-4a291242?trk=hp-identity-name
Ricky Winata,FAZZ,https://www.linkedin.com/in/ricky-winata-75735458
Mohandass Kalaichelvan,Spenmo,https://www.linkedin.com/in/mohandasskalaichelvan/
Isaq Ahmed Mukthar,Spenmo,https://www.linkedin.com/in/isaqahmed/
Andrea Baronchelli,Aspire,https://www.linkedin.com/in/andrea-baronchelli-0979a541/
Giovanni Casinelli,Aspire,https://linkedin.com/in/giovannicasinelli
Michael Rendy Haryadi Tanuwidjaja,Super,https://id.linkedin.com/in/michael-rendy-3641ab67
Steven Wongsoredjo,Super,https://www.linkedin.com/in/stevenwongsoredjo/
Abhinay Peddisetty,BukuWarung,https://www.linkedin.com/in/abh1nay/
Chinmay Chauhan,BukuWarung,https://www.linkedin.com/in/chinmaychauhan/
Vasco Pedro,Unbabel,https://www.linkedin.com/in/vascopedro/
Bruno Prezado Silva,Unbabel,https://www.linkedin.com/in/bruno-prezado-silva-b26a028/
Matt Schiller,Snappr,https://www.linkedin.com/in/mdschiller/
Luis Sia,PayMongo,https://www.linkedin.com/in/luis-sia-356877148/
Sebastian Punyaratabandhu Bhakdi,X-Zell,https://www.linkedin.com/pub/sebastian-chakrit-punyaratabandhu-bhakdi/4a/357/8a3
Prapat Suriyaphol,X-Zell,http://th.linkedin.com/pub/prapat-suriyaphol/17/5b0/3b2
Willis Wee,Tech in Asia,http://www.linkedin.com/in/williswee
Jacky Lai,Peeba,http://www.linkedin.com/in/jackylaihk
Wynn Wijaya,Proglix,https://www.linkedin.com/in/wynn-wijaya-76a2a8a4/
Prawira Indrawan,Proglix,https://www.linkedin.com/in/prawira-indrawan-11826a256/
Wendy Wijaya,Proglix,https://www.linkedin.com/in/wendy-noel-wijaya-b9b6648b/
Hansel Hansel,Materee,https://www.linkedin.com/in/hansel-hansel-05247554
Steven Walentino,Materee,http://www.linkedin.com/in/steven-walentino
Joseph Tan,Uwi,https://www.linkedin.com/in/r-joseph-tan-82967a161
Emmanuel Rex Rodriguez,Uwi,https://www.linkedin.com/in/rexrodriguez/
Faza Fahleraz,Payable,https://www.linkedin.com/in/ffahleraz/
Gery Nugraha,Payable,https://linkedin.com/in/gery-w-47bb86102
Albert Sahala Theodore,Payable,https://www.linkedin.com/in/albertsahala/
David Marquez,Shipmates,https://ph.linkedin.com/in/dayvough
Josh Supan,Shipmates,http://www.linkedin.com/in/joshsupan/
Jonathan Low,Ajourney,https://www.linkedin.com/in/jonathanlowhy/
Cayter Goh,Ajourney,https://www.linkedin.com/in/cayter-goh
Thomas Jiang,Ajourney,https://www.linkedin.com/in/thomas-jiang/
Raimie Tang,Metafi,https://www.linkedin.com/in/raimie-tang/
Arvind Ramesh,Metafi,https://www.linkedin.com/in/arvindbramesh/
Okky Pratama,Delegasi,https://www.linkedin.com/in/yudha-okky-pratama-84217331/
Ans Syuhada,Delegasi,https://linkedin.com/in/anshorimuslim
Gabriel Frans,CrediBook,https://www.linkedin.com/in/gbyfrans/
Dekha Anggareska,CrediBook,https://www.linkedin.com/in/dekha-anggareska-5a27374b/
Christian Lie,CrediBook,https://www.linkedin.com/in/christlie/
Larry Ridwan,Fresh Factory,https://www.linkedin.com/in/larry-ridwan-22671228/
Widijastoro Nugroho,Fresh Factory,https://www.linkedin.com/in/widijastoro-nugroho-7b686b/
Andre Septiano,Fresh Factory,https://www.linkedin.com/in/andre-septiano-b69a40114/
Mario Gaw,Bananas,https://www.linkedin.com/in/mariogaw/
Kristian F H Sinaulan,Bananas,https://www.linkedin.com/in/kristian-frits-harris-sinaulan-04610744
Reinhart Hermanus,Finnix,https://www.linkedin.com/in/reinhart-hermanus-6a149115/
Philip Moniaga,Finnix,https://www.linkedin.com/in/philipmoniaga/
Sebastian Yaphy,Finnix,https://www.linkedin.com/in/syaphy/
Geoffrey See,Poko,https://www.linkedin.com/in/geoffreysee/
Van Tran,Poko,https://www.linkedin.com/in/tranngocvan210/
Andy Sudarman,Dealls – Jobs & Mentoring,https://www.linkedin.com/in/andhikasudarman/
Nicolas Ramsay,Circular,https://www.linkedin.com/in/nicolasramsay/
Yaniv Bernstein,Circular,https://linkedin.com/in/ybernstein
George Oliver,Circular,https://www.linkedin.com/in/george-oliver-81139754/
Pantha Roy,Circular,https://sg.linkedin.com/in/pantharoy
Ivo Verhaegh,Powerhouse AI,https://www.linkedin.com/in/ivoverhaegh/
Kushal Pillay,Powerhouse AI,https://www.linkedin.com/in/kushalpillay/
Quan Nguyen,GIMO,https://www.linkedin.com/in/quannguyen89/
Shyam Kalairajah,Finku,https://www.linkedin.com/in/shyam-kalairajah-61a705128/
Reinaldo Tendean,Finku,https://www.linkedin.com/in/reinaldo-tendean/
