Index,Company Logo,Logo,Company Name,Location,Description,Batch,Field,Specialization,YC Link
1,https://bookface-images.s3.amazonaws.com/small_logos/82971ab934851a55cee1aa3b11b22839902e7f2e.png,,Xendit,"Jakarta, Jakarta, Indonesia",Provides payment infrastructure for Southeast Asia,S15,FINTECH,PAYMENTS,https://www.ycombinator.com/companies/xendit
2,https://bookface-images.s3.amazonaws.com/small_logos/e1bf471cb1ca823b88101b2542b323bf09e743d5.png,,Ajaib,"Jakarta, Jakarta, Indonesia",Consumer fintech for Indonesia,S18,FINTECH,BANKING AND EXCHANGE,https://www.ycombinator.com/companies/ajaib
3,https://bookface-images.s3.amazonaws.com/small_logos/d7e6eeda0da5998a1259c2403e1417212d97b487.png,,Shipper,"Jakarta, Jakarta, Indonesia",Southeast Asia’s e-commerce logistics and enablement platform,W19,B2B,SUPPLY CHAIN AND LOGISTICS,https://www.ycombinator.com/companies/shipper
4,https://bookface-images.s3.amazonaws.com/small_logos/b71ac4245fd1b313b185f2e767a0c0a96e9b13b9.png,,FAZZ,"Jakarta, Jakarta, Indonesia",All-in-one Finance for Every Southeast Asia Business,S17,FINTECH,,https://www.ycombinator.com/companies/fazz
5,https://bookface-images.s3.amazonaws.com/small_logos/573684f2ec0dab289ea0dd5bacd0ea7b65204a36.png,,Spenmo,"Singapore, Singapore","A spend management software that provides businesses visibility,…",S20,FINTECH,BANKING AND EXCHANGE,https://www.ycombinator.com/companies/spenmo
6,https://bookface-images.s3.amazonaws.com/small_logos/753f62b42ec2f778dd6395d3ae91802c52ab6b5a.png,,Aspire,"Singapore, Singapore",All-in-one Finance OS for businesses,W18,FINTECH,PAYMENTS,https://www.ycombinator.com/companies/aspire
7,https://bookface-images.s3.amazonaws.com/small_logos/b2e6a479f6bce7479db38cdc02766040277a9254.png,,Super,"Surabaya, East Java, Indonesia",Super is the first and leading Indonesian social commerce platform,W18,CONSUMER,,https://www.ycombinator.com/companies/super
8,https://bookface-images.s3.amazonaws.com/small_logos/ea907a1b87549241f7b6d528f2704f3c3341d802.png,,BukuWarung,"Jakarta, Jakarta, Indonesia","Accounting, Payments & Credit app for 60M micro-businesses in…",S20,FINTECH,PAYMENTS,https://www.ycombinator.com/companies/bukuwarung
9,https://bookface-images.s3.amazonaws.com/small_logos/6d36cb19e3763316417518c3b4a2fe8f501c6bbc.png,,Unbabel,"San Francisco, CA, USA",AI-powered Language Operations platform,W14,B2B,OPERATIONS,https://www.ycombinator.com/companies/unbabel
10,https://bookface-images.s3.amazonaws.com/small_logos/2d4b8eea553ccc3ff1a645fc2affd4f8c5fc3b26.png,,Snappr,"San Francisco, CA, USA",Snappr is the one-stop-shop for visual content creation,W17,B2B,,https://www.ycombinator.com/companies/snappr
11,https://bookface-images.s3.amazonaws.com/small_logos/4dbbdf11aa95883486f40814fe98f6187b29b527.png,,PayMongo,"Taguig, NCR, Philippines",Modern online payments for the Philippines,S19,FINTECH,PAYMENTS,https://www.ycombinator.com/companies/paymongo
12,https://bookface-images.s3.amazonaws.com/small_logos/3fafbc0fbed91c91e5664f3b665740b3a037febe.png,,X-Zell,"Singapore, Singapore","Early, pain-free cancer detection.",W15,HEALTHCARE,DIAGNOSTICS,https://www.ycombinator.com/companies/x-zell
13,https://bookface-images.s3.amazonaws.com/small_logos/054014714327c1ca4a89093ff488ef0e91f04649.png,,Tech in Asia,"Singapore, Singapore",Tech in Asia (YC W15) is the largest English-language technology…,W15,CONSUMER,CONTENT,https://www.ycombinator.com/companies/tech-in-asia
14,https://bookface-images.s3.amazonaws.com/small_logos/1201a58c5de47a287ab4ea6a262a2598a1e6f3af.png,,Peeba,"Hong Kong, Hong Kong",Risk-free wholesale for retailers across Southeast Asia,W23,B2B,,https://www.ycombinator.com/companies/peeba
15,https://bookface-images.s3.amazonaws.com/small_logos/b934ac4e6592338ecfb6059eed0e744a22a3698a.png,,Proglix,"Jakarta, Jakarta, Indonesia",B2B Marketplace for Raw Materials in Indonesia,W23,INDUSTRIALS,,https://www.ycombinator.com/companies/proglix
16,https://bookface-images.s3.amazonaws.com/small_logos/067a567fc6eee729415d72514491e970329e357d.png,,Materee,"Jakarta, Jakarta, Indonesia",E-commerce platform for construction materials in Indonesia,S22,B2B,,https://www.ycombinator.com/companies/materee
17,https://bookface-images.s3.amazonaws.com/small_logos/6dd29af9f879e5798e9146343d3f804a3776eaf9.png,,Uwi,"Singapore, Singapore",Financing solutions for Southeast Asia housing crisis,S22,REAL ESTATE AND CONSTRUCTION,HOUSING AND REAL ESTATE,https://www.ycombinator.com/companies/uwi
18,https://bookface-images.s3.amazonaws.com/small_logos/ee4fe8802a71f25c6c2c285c8ec9843ecd6d8ebe.png,,Payable,"Jakarta, Jakarta, Indonesia",No-code online payment collection for Indonesian businesses.,S22,B2B,FINANCE AND ACCOUNTING,https://www.ycombinator.com/companies/payable-2
19,https://bookface-images.s3.amazonaws.com/small_logos/76a28e876eb9c3cbdcc9c73b1d02c839d73c053e.png,,Shipmates,"Makati, NCR, Philippines",Shipping platform for online merchants in the Philippines,S22,B2B,SUPPLY CHAIN AND LOGISTICS,https://www.ycombinator.com/companies/shipmates
20,https://bookface-images.s3.amazonaws.com/small_logos/e25e24a5fa3f139a8a009664672a9b500220c220.png,,Ajourney,"Singapore, Singapore",Gusto for South East Asia,S22,B2B,,https://www.ycombinator.com/companies/ajourney
21,https://bookface-images.s3.amazonaws.com/small_logos/0f09416ad2c5f002a936e7a5c658f21cd5712699.png,,Metafi,"Singapore, Singapore",Blockchain infrastructure for Web3 games,S22,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/metafi
22,https://bookface-images.s3.amazonaws.com/small_logos/401f1712c75af775727056181128d235a71bb8e5.png,,Delegasi,"Bandung, West Java, Indonesia",Automated accounting service for small businesses in Indonesia,S22,B2B,FINANCE AND ACCOUNTING,https://www.ycombinator.com/companies/delegasi
23,https://bookface-images.s3.amazonaws.com/small_logos/eb805ecba168243d2e3eea815c494ceb319e9267.png,,CrediBook,"Jakarta, Jakarta, Indonesia",Faire for Indonesia,W22,B2B,RETAIL,https://www.ycombinator.com/companies/credibook
24,https://bookface-images.s3.amazonaws.com/small_logos/68a34b0a86ae2d3f1b2df61f609c0c41bb4ae9e6.png,,Fresh Factory,"Jakarta, Jakarta, Indonesia",Smart Cold Chain Fulfillment Platform,W22,B2B,SUPPLY CHAIN AND LOGISTICS,https://www.ycombinator.com/companies/fresh-factory
25,https://bookface-images.s3.amazonaws.com/small_logos/0264ea871146dba5afa9e468acff02ea70924974.png,,Bananas,"Jakarta, Jakarta, Indonesia",Groceries delivered in minutes.,W22,CONSUMER,FOOD AND BEVERAGE,https://www.ycombinator.com/companies/bananas
26,https://bookface-images.s3.amazonaws.com/small_logos/967086215a90a3a36d46b7d111b26a6b9df49c40.png,,Finnix,"Jakarta, Jakarta, Indonesia",Financial technology solutions for Indonesian creative businesses,W22,FINTECH,INSURANCE,https://www.ycombinator.com/companies/finnix
27,https://bookface-images.s3.amazonaws.com/small_logos/e9223cea998383ca05659ccb9f8a005d117395d4.png,,Poko,"Singapore, Singapore",Seamless Fiat Payments for Web3,W22,FINTECH,,https://www.ycombinator.com/companies/poko
