Company Name,Standardized Name,Country,Industry,Season,Year,Estimated Revenue Range,Founded Date,Number of Employees,Last Funding Type,Last Funding Amount Currency (in USD),Total Funding Amount Currency (in USD)
Adra,adra, Singapore,HEALTHCARE,S,21,,2021-07-01,1-10,Pre-Seed,1250000,1250000
Advantage Club,advantage_club, India,B2B,S,21,,,,Series A,3000000,8900000
Ajaib,ajaib, Indonesia,FINTECH,S,18,$10M to $50M,2019-01-01,101-250,Series B,154193899,246293899
Ajourney,ajourney, Singapore,B2B,S,22,,2022-05-25,1-10,Venture - Series Unknown,,
AlemHealth,alemhealth, Singapore,HEALTHCARE,W,17,Less than $1M,2014-01-01,11-50,Seed,120000,120000
AllSome Fulfillment,allsome_fulfillment, China,B2B,W,19,,,,Seed,1900000,2100000
Anfin,anfin, Vietnam,FINTECH,W,22,,2021-06-01,11-50,Seed,4800000,6575000
Arrow,arrow, Singapore,FINTECH,S,21,,2020-11-01,11-50,Seed,4800000,4925000
Aspire,aspire, Singapore,FINTECH,W,18,,2018-01-01,101-250,Series C,100000000,299500000
Atlas,atlas, Singapore,B2B,S,21,,2020-12-23,1-10,Venture - Series Unknown,,3125000
Avion School,avion_school, Philippines,EDUCATION,W,21,,2020-01-01,1-10,Seed,125000,125000
Aviron Interactive,aviron_interactive, Canada,CONSUMER,W,21,$1M to $10M,,,Series A,18600000,23600000
Bakool,bakool, Indonesia,CONSUMER,W,22,,2022-01-01,101-250,Seed,,125000
Bananas,bananas, Indonesia,CONSUMER,W,22,,2021-11-01,11-50,Seed,1500000,1500000
bipi,bipi, Indonesia,B2B,W,22,,2022-01-01,11-50,Venture - Series Unknown,,
borong,borong, Malaysia,B2B,W,20,,,,Series A,3000000,8900000
Bot MD,bot_md, Singapore,HEALTHCARE,S,18,Less than $1M,2018-01-01,11-50,Series A,5000000,6590000
BrioHR,briohr, Malaysia,B2B,W,21,,2018-01-01,11-50,Seed,,1300000
BukuWarung,bukuwarung, Indonesia,FINTECH,S,20,,2019-08-01,101-250,Series A,60000000,80000000
Cera,cera, Singapore,FINTECH,W,22,,,,,,
Cherry Recommends,cherry_recommends, Singapore,B2B,W,22,,,,,,
Circular,circular, Singapore,CONSUMER,W,22,,2021-01-01,11-50,Seed,6000000,7600000
Cococart,cococart, Singapore,B2B,S,21,,2020-08-19,11-50,Seed,4100000,4225000
CrediBook,credibook, Indonesia,B2B,W,22,,,,Series A,8100000,9600000
Cyble,cyble, USA,B2B,W,21,Less than $1M,,,Series B,30200000,44800000
Dashlabs.ai,dashlabs.ai, Philippines,HEALTHCARE,W,21,,,,Seed,"1,152,545","1,152,545"
Dealls – Jobs & Mentoring,dealls_– jobs_&_mentoring, Singapore,B2B,W,22,,2022-03-15,101-250,Venture - Series Unknown,,
Decentro,decentro, India,B2B,S,20,$1M to $10M,2020-01-01,11-50,Series A,4700000,4700000
Delegasi,delegasi, Indonesia,B2B,S,22,,2021-01-01,11-50,Venture - Series Unknown,,
Deskimo,deskimo, Singapore,B2B,S,21,,2021-02-01,11-50,Seed,3000000,3125000
Dreamerly,dreamerly, Singapore,CONSUMER,S,21,,2021-01-01,1-10,Pre-Seed,125000,125000
Dropezy,dropezy, Indonesia,CONSUMER,W,22,,2019-04-01,11-50,Seed,3375000,6170000
Durioo,durioo, Malaysia,CONSUMER,W,22,,2021-08-20,11-50,Seed,2943947,2943947
Eden Farm,eden_farm, Indonesia,B2B,S,19,,2017-07-01,501-1000,Series B,13501414,34246125
ErudiFi,erudifi, Singapore,FINTECH,W,18,,2017-01-01,11-50,Debt Financing,15000000,20000000
FAZZ,fazz, Indonesia,FINTECH,S,17,,2016-05-18,501-1000,Venture - Series Unknown,5300000,179425000
Finantier,finantier, Singapore,FINTECH,W,21,,2020-08-05,11-50,Non-equity Assistance,,
Finku,finku, Indonesia,FINTECH,W,22,,2021-01-01,51-100,Seed,2800000,2800000
Finnix,finnix, Indonesia,FINTECH,W,22,,2021-01-01,11-50,Venture - Series Unknown,,
FirstSupport.ai,firstsupport.ai, Indonesia,B2B,W,21,,2018-03-01,1-10,Seed,,
Flagright,flagright,Singapore,B2B,W,22,$1M to $10M,,,Seed,3200000,3200000
Fresh Factory,fresh_factory, Indonesia,B2B,W,22,,2020-01-01,251-500,Seed,4150000,8650000
Friz,friz, Singapore,CONSUMER,W,21,,2020-01-01,1-10,Seed,,
GIMO,gimo, Vietnam,FINTECH,W,22,,2019-06-14,11-50,Series A,12000000,19500000
Greywing,greywing, Singapore,B2B,W,21,,2019-05-08,1-10,Seed,2500000,2500000
HitPay,hitpay, Singapore,FINTECH,S,21,,2016-03-08,1-10,Series A,15750000,18445000
