Company,Name,Crunchbase,Facebook,Github,Linkedin,Twitter
Xendit,Xendit,https://www.crunchbase.com/organization/xendit,https://www.facebook.com/xendit/,https://github.com/xendit,https://www.linkedin.com/company/xendit/,https://twitter.com/xenditco
Xendit,Moses Lo,,,,http://linkedin.com/in/moseslo,
Xendit,Bo Chen,,,,https://www.linkedin.com/in/bochen303,
Xendit,Juan Gonzalez,,,,https://www.linkedin.com/in/0505gonzalez,
Ajaib,Ajaib,https://www.crunchbase.com/organization/ajaib,,https://github.com/ajaibid,https://www.linkedin.com/company/ajaib-id,https://twitter.com/ajaib_investasi
Ajaib,Anderson Sumarli,,,,https://www.linkedin.com/in/andersonsumarli/,
Ajaib,Yada Piyajomkwan,,,,https://www.linkedin.com/in/yada-piyajomkwan-88713865/,
Shipper,Shipper,https://www.crunchbase.com/organization/shipper-35b4,https://www.facebook.com/shipperID,,https://www.linkedin.com/company/shipper-indonesia/,
Shipper,Budi Handoko,,,,https://www.linkedin.com/in/bhandoko/,
Shipper,Phil Opamuratawongse,,,,https://www.linkedin.com/in/phil-opamuratawongse-b87b9380/,
FAZZ,FAZZ,https://www.crunchbase.com/organization/fazz-financial,,,https://www.linkedin.com/company/fazz-financial-group/,
FAZZ,Jefriyanto,,,,https://id.linkedin.com/in/jefriyanto,
FAZZ,Hendra Kwik,,,,https://www.linkedin.com/in/hendra-kwik-4a291242?trk=hp-identity-name,
FAZZ,Ricky Winata,,,,https://www.linkedin.com/in/ricky-winata-75735458,
Spenmo,Spenmo,,https://www.facebook.com/Spenmosingapore,https://github.com/spenmo,https://www.linkedin.com/company/spenmo,
Spenmo,Mohandass Kalaichelvan,,,,https://www.linkedin.com/in/mohandasskalaichelvan/,
Spenmo,Isaq Ahmed Mukthar,,,,https://www.linkedin.com/in/isaqahmed/,
Aspire,Aspire,,https://www.facebook.com/AspireSingapore/,,https://www.linkedin.com/company/aspire-sea/,
Aspire,Andrea Baronchelli,,,,https://www.linkedin.com/in/andrea-baronchelli-0979a541/,
Aspire,Giovanni Casinelli,,,,https://linkedin.com/in/giovannicasinelli,https://twitter.com/CasinelliG
Super,Super,https://www.crunchbase.com/organization/super-1f7d,https://www.facebook.com/aplikasisuper,,https://www.linkedin.com/company/superapp-id/?viewAsMember=true,
Super,Michael Rendy Haryadi Tanuwidjaja,,,,https://id.linkedin.com/in/michael-rendy-3641ab67,
Super,Steven Wongsoredjo,,,,https://www.linkedin.com/in/stevenwongsoredjo/,
BukuWarung,BukuWarung,,https://www.facebook.com/bukuwarung,https://github.com/bukuwarung,https://www.linkedin.com/company/31532829/,https://twitter.com/BukuWarung_
BukuWarung,Abhinay Peddisetty,,,,https://www.linkedin.com/in/abh1nay/,https://twitter.com/abh1nay
BukuWarung,Chinmay Chauhan,,,,https://www.linkedin.com/in/chinmaychauhan/,https://twitter.com/chinmaychauhan
Unbabel,Unbabel,https://www.crunchbase.com/organization/unbabel,https://www.facebook.com/unbabel,https://github.com/Unbabel,https://www.linkedin.com/company/unbabel/,https://twitter.com/unbabel
