Company,Crunchbase,Facebook,Github,Linkedin,Name,Twitter
Xendit,https://www.crunchbase.com/organization/xendit,https://www.facebook.com/xendit/,,https://www.linkedin.com/company/xendit/; https://www.linkedin.com/in/bochen303; https://www.linkedin.com/in/0505gonzalez,,
Ajaib,https://www.crunchbase.com/organization/ajaib,,,https://www.linkedin.com/company/ajaib-id; https://www.linkedin.com/in/andersonsumarli/; https://www.linkedin.com/in/yada-piyajomkwan-88713865/,,
Shipper,https://www.crunchbase.com/organization/shipper-35b4,https://www.facebook.com/shipperID,,https://www.linkedin.com/company/shipper-indonesia/; https://www.linkedin.com/in/bhandoko/; https://www.linkedin.com/in/phil-opamuratawongse-b87b9380/,,
FAZZ,https://www.crunchbase.com/organization/fazz-financial,,,https://www.linkedin.com/company/fazz-financial-group/; https://www.linkedin.com/in/hendra-kwik-4a291242?trk=hp-identity-name; https://www.linkedin.com/in/ricky-winata-75735458,,
Spenmo,,https://www.facebook.com/Spenmosingapore,,https://www.linkedin.com/company/spenmo; https://www.linkedin.com/in/mohandasskalaichelvan/; https://www.linkedin.com/in/isaqahmed/,,
Aspire,,https://www.facebook.com/AspireSingapore/,,https://www.linkedin.com/company/aspire-sea/; https://www.linkedin.com/in/andrea-baronchelli-0979a541/,,
Super,https://www.crunchbase.com/organization/super-1f7d,https://www.facebook.com/aplikasisuper,,https://www.linkedin.com/company/superapp-id/?viewAsMember=true; https://www.linkedin.com/in/stevenwongsoredjo/,,
BukuWarung,,https://www.facebook.com/bukuwarung,,https://www.linkedin.com/company/31532829/; https://www.linkedin.com/in/abh1nay/; https://www.linkedin.com/in/chinmaychauhan/,,
Unbabel,https://www.crunchbase.com/organization/unbabel,https://www.facebook.com/unbabel,,https://www.linkedin.com/company/unbabel/; https://www.linkedin.com/in/vascopedro/; https://www.linkedin.com/in/bruno-prezado-silva-b26a028/,,
Snappr,https://www.crunchbase.com/organization/snappr-2,https://www.facebook.com/snappr.co/,,https://www.linkedin.com/company/snappr.co/; https://www.linkedin.com/in/mdschiller/,,
